┌────────────┬─────────────────────┬──────┐
│    Date    │       region        │ year │
│ 2016-01-10 │ Atlanta             │ 2016 │
│ 2016-01-03 │ Atlanta             │ 2016 │
│ 2016-12-25 │ BaltimoreWashington │ 2016 │
│ 2016-12-18 │ BaltimoreWashington │ 2016 │
│ 2016-12-11 │ BaltimoreWashington │ 2016 │
│ 2016-12-04 │ BaltimoreWashington │ 2016 │
│ 2016-11-27 │ BaltimoreWashington │ 2016 │
│ 2016-11-20 │ BaltimoreWashington │ 2016 │
│ 2016-11-13 │ BaltimoreWashington │ 2016 │
│ 2016-11-06 │ BaltimoreWashington │ 2016 │
│ 2016-10-30 │ BaltimoreWashington │ 2016 │
│ 2016-10-23 │ BaltimoreWashington │ 2016 │
│ 2016-10-16 │ BaltimoreWashington │ 2016 │
│ 2016-10-09 │ BaltimoreWashington │ 2016 │
│ 2016-10-02 │ BaltimoreWashington │ 2016 │
│ 2016-09-25 │ BaltimoreWashington │ 2016 │
│ 2016-09-18 │ BaltimoreWashington │ 2016 │
│ 2016-09-11 │ BaltimoreWashington │ 2016 │
│ 2016-09-04 │ BaltimoreWashington │ 2016 │
│ 2016-08-28 │ BaltimoreWashington │ 2016 │
│ 2016-08-21 │ BaltimoreWashington │ 2016 │
│ 2016-08-14 │ BaltimoreWashington │ 2016 │
│ 2016-08-07 │ BaltimoreWashington │ 2016 │
│ 2016-07-31 │ BaltimoreWashington │ 2016 │
│ 2016-07-24 │ BaltimoreWashington │ 2016 │
│ 2016-07-17 │ BaltimoreWashington │ 2016 │
│ 2016-07-10 │ BaltimoreWashington │ 2016 │
│ 2016-07-03 │ BaltimoreWashington │ 2016 │
│ 2016-06-26 │ BaltimoreWashington │ 2016 │
│ 2016-06-19 │ BaltimoreWashington │ 2016 │
│ 2016-06-12 │ BaltimoreWashington │ 2016 │
│ 2016-06-05 │ BaltimoreWashington │ 2016 │
│ 2016-05-29 │ BaltimoreWashington │ 2016 │
│ 2016-05-22 │ BaltimoreWashington │ 2016 │
│ 2016-05-15 │ BaltimoreWashington │ 2016 │
│ 2016-05-08 │ BaltimoreWashington │ 2016 │
│ 2016-05-01 │ BaltimoreWashington │ 2016 │
│ 2016-04-24 │ BaltimoreWashington │ 2016 │
│ 2016-04-17 │ BaltimoreWashington │ 2016 │
│ 2016-04-10 │ BaltimoreWashington │ 2016 │
│ 2016-04-03 │ BaltimoreWashington │ 2016 │
│ 2016-03-27 │ BaltimoreWashington │ 2016 │
│ 2016-03-20 │ BaltimoreWashington │ 2016 │
│ 2016-03-13 │ BaltimoreWashington │ 2016 │
│ 2016-03-06 │ BaltimoreWashington │ 2016 │
│ 2016-02-28 │ BaltimoreWashington │ 2016 │
│ 2016-02-21 │ BaltimoreWashington │ 2016 │
│ 2016-02-14 │ BaltimoreWashington │ 2016 │
│ 2016-02-07 │ BaltimoreWashington │ 2016 │
│ 2016-01-31 │ BaltimoreWashington │ 2016 │
│ 2016-01-24 │ BaltimoreWashington │ 2016 │
│ 2016-01-17 │ BaltimoreWashington │ 2016 │
│ 2016-01-10 │ BaltimoreWashington │ 2016 │
│ 2016-01-03 │ BaltimoreWashington │ 2016 │
│ 2016-12-25 │ Boise               │ 2016 │
│ 2016-12-18 │ Boise               │ 2016 │
│ 2016-12-11 │ Boise               │ 2016 │
│ 2016-12-04 │ Boise               │ 2016 │
│ 2016-11-27 │ Boise               │ 2016 │
│ 2016-11-20 │ Boise               │ 2016 │
│ 2016-11-13 │ Boise               │ 2016 │
│ 2016-11-06 │ Boise               │ 2016 │
│ 2016-10-30 │ Boise               │ 2016 │
│ 2016-10-23 │ Boise               │ 2016 │
│ 2016-10-16 │ Boise               │ 2016 │
│ 2016-10-09 │ Boise               │ 2016 │
│ 2016-10-02 │ Boise               │ 2016 │
│ 2016-09-25 │ Boise               │ 2016 │
│ 2016-09-18 │ Boise               │ 2016 │
│ 2016-09-11 │ Boise               │ 2016 │
│ 2016-09-04 │ Boise               │ 2016 │
│ 2016-08-28 │ Boise               │ 2016 │
│ 2016-08-21 │ Boise               │ 2016 │
│ 2016-08-14 │ Boise               │ 2016 │
│ 2016-08-07 │ Boise               │ 2016 │
│ 2016-07-31 │ Boise               │ 2016 │
│ 2016-07-24 │ Boise               │ 2016 │
│ 2016-07-17 │ Boise               │ 2016 │
│ 2016-07-10 │ Boise               │ 2016 │
│ 2016-07-03 │ Boise               │ 2016 │
│ 2016-06-26 │ Boise               │ 2016 │
│ 2016-06-19 │ Boise               │ 2016 │
│ 2016-06-12 │ Boise               │ 2016 │
│ 2016-06-05 │ Boise               │ 2016 │
│ 2016-05-29 │ Boise               │ 2016 │
│ 2016-05-22 │ Boise               │ 2016 │
│ 2016-05-15 │ Boise               │ 2016 │
│ 2016-05-08 │ Boise               │ 2016 │
│ 2016-05-01 │ Boise               │ 2016 │
│ 2016-04-24 │ Boise               │ 2016 │
│ 2016-04-17 │ Boise               │ 2016 │
│ 2016-04-10 │ Boise               │ 2016 │
│ 2016-04-03 │ Boise               │ 2016 │
│ 2016-03-27 │ Boise               │ 2016 │
│ 2016-03-20 │ Boise               │ 2016 │
│ 2016-03-13 │ Boise               │ 2016 │
│ 2016-03-06 │ Boise               │ 2016 │
│ 2016-02-28 │ Boise               │ 2016 │
│ 2016-02-21 │ Boise               │ 2016 │
│ 2016-02-14 │ Boise               │ 2016 │
│ 2016-02-07 │ Boise               │ 2016 │
│ 2016-01-31 │ Boise               │ 2016 │
│ 2016-01-24 │ Boise               │ 2016 │
│ 2016-01-17 │ Boise               │ 2016 │
│ 2016-01-10 │ Boise               │ 2016 │
│ 2016-01-03 │ Boise               │ 2016 │
│ 2016-12-25 │ Boston              │ 2016 │
│ 2016-12-18 │ Boston              │ 2016 │
│ 2016-12-11 │ Boston              │ 2016 │
│ 2016-12-04 │ Boston              │ 2016 │
│ 2016-11-27 │ Boston              │ 2016 │
│ 2016-11-20 │ Boston              │ 2016 │
│ 2016-11-13 │ Boston              │ 2016 │
│ 2016-11-06 │ Boston              │ 2016 │
│ 2016-10-30 │ Boston              │ 2016 │
│ 2016-10-23 │ Boston              │ 2016 │
│ 2016-10-16 │ Boston              │ 2016 │
│ 2016-10-09 │ Boston              │ 2016 │
│ 2016-10-02 │ Boston              │ 2016 │
│ 2016-09-25 │ Boston              │ 2016 │
│ 2016-09-18 │ Boston              │ 2016 │
│ 2016-09-11 │ Boston              │ 2016 │
│ 2016-09-04 │ Boston              │ 2016 │
│ 2016-08-28 │ Boston              │ 2016 │
│ 2016-08-21 │ Boston              │ 2016 │
│ 2016-08-14 │ Boston              │ 2016 │
│ 2016-08-07 │ Boston              │ 2016 │
│ 2016-07-31 │ Boston              │ 2016 │
│ 2016-07-24 │ Boston              │ 2016 │
│ 2016-07-17 │ Boston              │ 2016 │
│ 2016-07-10 │ Boston              │ 2016 │
│ 2016-07-03 │ Boston              │ 2016 │
│ 2016-06-26 │ Boston              │ 2016 │
│ 2016-06-19 │ Boston              │ 2016 │
│ 2016-06-12 │ Boston              │ 2016 │
│ 2016-06-05 │ Boston              │ 2016 │
│ 2016-05-29 │ Boston              │ 2016 │
│ 2016-05-22 │ Boston              │ 2016 │
│ 2016-05-15 │ Boston              │ 2016 │
│ 2016-05-08 │ Boston              │ 2016 │
│ 2016-05-01 │ Boston              │ 2016 │
│ 2016-04-24 │ Boston              │ 2016 │
│ 2016-04-17 │ Boston              │ 2016 │
│ 2016-04-10 │ Boston              │ 2016 │
│ 2016-04-03 │ Boston              │ 2016 │
│ 2016-03-27 │ Boston              │ 2016 │
│ 2016-03-20 │ Boston              │ 2016 │
│ 2016-03-13 │ Boston              │ 2016 │
│ 2016-03-06 │ Boston              │ 2016 │
│ 2016-02-28 │ Boston              │ 2016 │
│ 2016-02-21 │ Boston              │ 2016 │
│ 2016-02-14 │ Boston              │ 2016 │
│ 2016-02-07 │ Boston              │ 2016 │
│ 2016-01-31 │ Boston              │ 2016 │
│ 2016-01-24 │ Boston              │ 2016 │
│ 2016-01-17 │ Boston              │ 2016 │
│ 2016-01-10 │ Boston              │ 2016 │
│ 2016-01-03 │ Boston              │ 2016 │
│ 2016-12-25 │ BuffaloRochester    │ 2016 │
│ 2016-12-18 │ BuffaloRochester    │ 2016 │
│ 2016-12-11 │ BuffaloRochester    │ 2016 │
│ 2016-12-04 │ BuffaloRochester    │ 2016 │
│ 2016-11-27 │ BuffaloRochester    │ 2016 │
│ 2016-11-20 │ BuffaloRochester    │ 2016 │
│ 2016-11-13 │ BuffaloRochester    │ 2016 │
│ 2016-11-06 │ BuffaloRochester    │ 2016 │
│ 2016-10-30 │ BuffaloRochester    │ 2016 │
│ 2016-10-23 │ BuffaloRochester    │ 2016 │
│ 2016-10-16 │ BuffaloRochester    │ 2016 │
│ 2016-10-09 │ BuffaloRochester    │ 2016 │
│ 2016-10-02 │ BuffaloRochester    │ 2016 │
│ 2016-09-25 │ BuffaloRochester    │ 2016 │
│ 2016-09-18 │ BuffaloRochester    │ 2016 │
│ 2016-09-11 │ BuffaloRochester    │ 2016 │
│ 2016-09-04 │ BuffaloRochester    │ 2016 │
│ 2016-08-28 │ BuffaloRochester    │ 2016 │
│ 2016-08-21 │ BuffaloRochester    │ 2016 │
│ 2016-08-14 │ BuffaloRochester    │ 2016 │
│ 2016-08-07 │ BuffaloRochester    │ 2016 │
│ 2016-07-31 │ BuffaloRochester    │ 2016 │
│ 2016-07-24 │ BuffaloRochester    │ 2016 │
│ 2016-07-17 │ BuffaloRochester    │ 2016 │
│ 2016-07-10 │ BuffaloRochester    │ 2016 │
│ 2016-07-03 │ BuffaloRochester    │ 2016 │
│ 2016-06-26 │ BuffaloRochester    │ 2016 │
│ 2016-06-19 │ BuffaloRochester    │ 2016 │
│ 2016-06-12 │ BuffaloRochester    │ 2016 │
│ 2016-06-05 │ BuffaloRochester    │ 2016 │
│ 2016-05-29 │ BuffaloRochester    │ 2016 │
│ 2016-05-22 │ BuffaloRochester    │ 2016 │
│ 2016-05-15 │ BuffaloRochester    │ 2016 │
│ 2016-05-08 │ BuffaloRochester    │ 2016 │
│ 2016-05-01 │ BuffaloRochester    │ 2016 │
│ 2016-04-24 │ BuffaloRochester    │ 2016 │
│ 2016-04-17 │ BuffaloRochester    │ 2016 │
│ 2016-04-10 │ BuffaloRochester    │ 2016 │
│ 2016-04-03 │ BuffaloRochester    │ 2016 │
│ 2016-03-27 │ BuffaloRochester    │ 2016 │
│ 2016-03-20 │ BuffaloRochester    │ 2016 │
│ 2016-03-13 │ BuffaloRochester    │ 2016 │
│ 2016-03-06 │ BuffaloRochester    │ 2016 │
│ 2016-02-28 │ BuffaloRochester    │ 2016 │
│ 2016-02-21 │ BuffaloRochester    │ 2016 │
│ 2016-02-14 │ BuffaloRochester    │ 2016 │
│ 2016-02-07 │ BuffaloRochester    │ 2016 │
│ 2016-01-31 │ BuffaloRochester    │ 2016 │
│ 2016-01-24 │ BuffaloRochester    │ 2016 │
│ 2016-01-17 │ BuffaloRochester    │ 2016 │
│ 2016-01-10 │ BuffaloRochester    │ 2016 │
│ 2016-01-03 │ BuffaloRochester    │ 2016 │
│ 2016-12-25 │ California          │ 2016 │
│ 2016-12-18 │ California          │ 2016 │
│ 2016-12-11 │ California          │ 2016 │
│ 2016-12-04 │ California          │ 2016 │
│ 2016-11-27 │ California          │ 2016 │
│ 2016-11-20 │ California          │ 2016 │
│ 2016-11-13 │ California          │ 2016 │
│ 2016-11-06 │ California          │ 2016 │
│ 2016-10-30 │ California          │ 2016 │
│ 2016-10-23 │ California          │ 2016 │
│ 2016-10-16 │ California          │ 2016 │
│ 2016-10-09 │ California          │ 2016 │
│ 2016-10-02 │ California          │ 2016 │
│ 2016-09-25 │ California          │ 2016 │
│ 2016-09-18 │ California          │ 2016 │
│ 2016-09-11 │ California          │ 2016 │
│ 2016-09-04 │ California          │ 2016 │
│ 2016-08-28 │ California          │ 2016 │
│ 2016-08-21 │ California          │ 2016 │
│ 2016-08-14 │ California          │ 2016 │
│ 2016-08-07 │ California          │ 2016 │
│ 2016-07-31 │ California          │ 2016 │
│ 2016-07-24 │ California          │ 2016 │
│ 2016-07-17 │ California          │ 2016 │
│ 2016-07-10 │ California          │ 2016 │
│ 2016-07-03 │ California          │ 2016 │
│ 2016-06-26 │ California          │ 2016 │
│ 2016-06-19 │ California          │ 2016 │
│ 2016-06-12 │ California          │ 2016 │
│ 2016-06-05 │ California          │ 2016 │
│ 2016-05-29 │ California          │ 2016 │
│ 2016-05-22 │ California          │ 2016 │
│ 2016-05-15 │ California          │ 2016 │
│ 2016-05-08 │ California          │ 2016 │
│ 2016-05-01 │ California          │ 2016 │
│ 2016-04-24 │ California          │ 2016 │
│ 2016-04-17 │ California          │ 2016 │
│ 2016-04-10 │ California          │ 2016 │
│ 2016-04-03 │ California          │ 2016 │
│ 2016-03-27 │ California          │ 2016 │
│ 2016-03-20 │ California          │ 2016 │
│ 2016-03-13 │ California          │ 2016 │
│ 2016-03-06 │ California          │ 2016 │
│ 2016-02-28 │ California          │ 2016 │
│ 2016-02-21 │ California          │ 2016 │
│ 2016-02-14 │ California          │ 2016 │
│ 2016-02-07 │ California          │ 2016 │
│ 2016-01-31 │ California          │ 2016 │
│ 2016-01-24 │ California          │ 2016 │
│ 2016-01-17 │ California          │ 2016 │
│ 2016-01-10 │ California          │ 2016 │
│ 2016-01-03 │ California          │ 2016 │
│ 2016-12-25 │ Charlotte           │ 2016 │
│ 2016-12-18 │ Charlotte           │ 2016 │
│ 2016-12-11 │ Charlotte           │ 2016 │
│ 2016-12-04 │ Charlotte           │ 2016 │
│ 2016-11-27 │ Charlotte           │ 2016 │
│ 2016-11-20 │ Charlotte           │ 2016 │
│ 2016-11-13 │ Charlotte           │ 2016 │
│ 2016-11-06 │ Charlotte           │ 2016 │
│ 2016-10-30 │ Charlotte           │ 2016 │
│ 2016-10-23 │ Charlotte           │ 2016 │
│ 2016-10-16 │ Charlotte           │ 2016 │
│ 2016-10-09 │ Charlotte           │ 2016 │
│ 2016-10-02 │ Charlotte           │ 2016 │
│ 2016-09-25 │ Charlotte           │ 2016 │
│ 2016-09-18 │ Charlotte           │ 2016 │
│ 2016-09-11 │ Charlotte           │ 2016 │
│ 2016-09-04 │ Charlotte           │ 2016 │
│ 2016-08-28 │ Charlotte           │ 2016 │
│ 2016-08-21 │ Charlotte           │ 2016 │
│ 2016-08-14 │ Charlotte           │ 2016 │
│ 2016-08-07 │ Charlotte           │ 2016 │
│ 2016-07-31 │ Charlotte           │ 2016 │
│ 2016-07-24 │ Charlotte           │ 2016 │
│ 2016-07-17 │ Charlotte           │ 2016 │
│ 2016-07-10 │ Charlotte           │ 2016 │
│ 2016-07-03 │ Charlotte           │ 2016 │
│ 2016-06-26 │ Charlotte           │ 2016 │
│ 2016-06-19 │ Charlotte           │ 2016 │
│ 2016-06-12 │ Charlotte           │ 2016 │
│ 2016-06-05 │ Charlotte           │ 2016 │
│ 2016-05-29 │ Charlotte           │ 2016 │
│ 2016-05-22 │ Charlotte           │ 2016 │
│ 2016-05-15 │ Charlotte           │ 2016 │
│ 2016-05-08 │ Charlotte           │ 2016 │
│ 2016-05-01 │ Charlotte           │ 2016 │
│ 2016-04-24 │ Charlotte           │ 2016 │
│ 2016-04-17 │ Charlotte           │ 2016 │
│ 2016-04-10 │ Charlotte           │ 2016 │
│ 2016-04-03 │ Charlotte           │ 2016 │
│ 2016-03-27 │ Charlotte           │ 2016 │
│ 2016-03-20 │ Charlotte           │ 2016 │
│ 2016-03-13 │ Charlotte           │ 2016 │
│ 2016-03-06 │ Charlotte           │ 2016 │
│ 2016-02-28 │ Charlotte           │ 2016 │
│ 2016-02-21 │ Charlotte           │ 2016 │
│ 2016-02-14 │ Charlotte           │ 2016 │
│ 2016-02-07 │ Charlotte           │ 2016 │
│ 2016-01-31 │ Charlotte           │ 2016 │
│ 2016-01-24 │ Charlotte           │ 2016 │
│ 2016-01-17 │ Charlotte           │ 2016 │
│ 2016-01-10 │ Charlotte           │ 2016 │
│ 2016-01-03 │ Charlotte           │ 2016 │
│ 2016-12-25 │ Chicago             │ 2016 │
│ 2016-12-18 │ Chicago             │ 2016 │
│ 2016-12-11 │ Chicago             │ 2016 │
│ 2016-12-04 │ Chicago             │ 2016 │
│ 2016-11-27 │ Chicago             │ 2016 │
│ 2016-11-20 │ Chicago             │ 2016 │
│ 2016-11-13 │ Chicago             │ 2016 │
│ 2016-11-06 │ Chicago             │ 2016 │
│ 2016-10-30 │ Chicago             │ 2016 │
│ 2016-10-23 │ Chicago             │ 2016 │
│ 2016-10-16 │ Chicago             │ 2016 │
│ 2016-10-09 │ Chicago             │ 2016 │
│ 2016-10-02 │ Chicago             │ 2016 │
│ 2016-09-25 │ Chicago             │ 2016 │
│ 2016-09-18 │ Chicago             │ 2016 │
│ 2016-09-11 │ Chicago             │ 2016 │
│ 2016-09-04 │ Chicago             │ 2016 │
│ 2016-08-28 │ Chicago             │ 2016 │
│ 2016-08-21 │ Chicago             │ 2016 │
│ 2016-08-14 │ Chicago             │ 2016 │
│ 2016-08-07 │ Chicago             │ 2016 │
│ 2016-07-31 │ Chicago             │ 2016 │
│ 2016-07-24 │ Chicago             │ 2016 │
│ 2016-07-17 │ Chicago             │ 2016 │
│ 2016-07-10 │ Chicago             │ 2016 │
│ 2016-07-03 │ Chicago             │ 2016 │
│ 2016-06-26 │ Chicago             │ 2016 │
│ 2016-06-19 │ Chicago             │ 2016 │
│ 2016-06-12 │ Chicago             │ 2016 │
│ 2016-06-05 │ Chicago             │ 2016 │
│ 2016-05-29 │ Chicago             │ 2016 │
│ 2016-05-22 │ Chicago             │ 2016 │
│ 2016-05-15 │ Chicago             │ 2016 │
│ 2016-05-08 │ Chicago             │ 2016 │
│ 2016-05-01 │ Chicago             │ 2016 │
│ 2016-04-24 │ Chicago             │ 2016 │
│ 2016-04-17 │ Chicago             │ 2016 │
│ 2016-04-10 │ Chicago             │ 2016 │
│ 2016-04-03 │ Chicago             │ 2016 │
│ 2016-03-27 │ Chicago             │ 2016 │
│ 2016-03-20 │ Chicago             │ 2016 │
│ 2016-03-13 │ Chicago             │ 2016 │
│ 2016-03-06 │ Chicago             │ 2016 │
│ 2016-02-28 │ Chicago             │ 2016 │
│ 2016-02-21 │ Chicago             │ 2016 │
│ 2016-02-14 │ Chicago             │ 2016 │
│ 2016-02-07 │ Chicago             │ 2016 │
│ 2016-01-31 │ Chicago             │ 2016 │
│ 2016-01-24 │ Chicago             │ 2016 │
│ 2016-01-17 │ Chicago             │ 2016 │
│ 2016-01-10 │ Chicago             │ 2016 │
│ 2016-01-03 │ Chicago             │ 2016 │
│ 2016-12-25 │ CincinnatiDayton    │ 2016 │
│ 2016-12-18 │ CincinnatiDayton    │ 2016 │
│ 2016-12-11 │ CincinnatiDayton    │ 2016 │
│ 2016-12-04 │ CincinnatiDayton    │ 2016 │
│ 2016-11-27 │ CincinnatiDayton    │ 2016 │
│ 2016-11-20 │ CincinnatiDayton    │ 2016 │
│ 2016-11-13 │ CincinnatiDayton    │ 2016 │
│ 2016-11-06 │ CincinnatiDayton    │ 2016 │
│ 2016-10-30 │ CincinnatiDayton    │ 2016 │
│ 2016-10-23 │ CincinnatiDayton    │ 2016 │
│ 2016-10-16 │ CincinnatiDayton    │ 2016 │
│ 2016-10-09 │ CincinnatiDayton    │ 2016 │
│ 2016-10-02 │ CincinnatiDayton    │ 2016 │
│ 2016-09-25 │ CincinnatiDayton    │ 2016 │
│ 2016-09-18 │ CincinnatiDayton    │ 2016 │
│ 2016-09-11 │ CincinnatiDayton    │ 2016 │
│ 2016-09-04 │ CincinnatiDayton    │ 2016 │
│ 2016-08-28 │ CincinnatiDayton    │ 2016 │
│ 2016-08-21 │ CincinnatiDayton    │ 2016 │
│ 2016-08-14 │ CincinnatiDayton    │ 2016 │
│ 2016-08-07 │ CincinnatiDayton    │ 2016 │
│ 2016-07-31 │ CincinnatiDayton    │ 2016 │
│ 2016-07-24 │ CincinnatiDayton    │ 2016 │
│ 2016-07-17 │ CincinnatiDayton    │ 2016 │
│ 2016-07-10 │ CincinnatiDayton    │ 2016 │
│ 2016-07-03 │ CincinnatiDayton    │ 2016 │
│ 2016-06-26 │ CincinnatiDayton    │ 2016 │
│ 2016-06-19 │ CincinnatiDayton    │ 2016 │
│ 2016-06-12 │ CincinnatiDayton    │ 2016 │
│ 2016-06-05 │ CincinnatiDayton    │ 2016 │
│ 2016-05-29 │ CincinnatiDayton    │ 2016 │
│ 2016-05-22 │ CincinnatiDayton    │ 2016 │
│ 2016-05-15 │ CincinnatiDayton    │ 2016 │
│ 2016-05-08 │ CincinnatiDayton    │ 2016 │
│ 2016-05-01 │ CincinnatiDayton    │ 2016 │
│ 2016-04-24 │ CincinnatiDayton    │ 2016 │
│ 2016-04-17 │ CincinnatiDayton    │ 2016 │
│ 2016-04-10 │ CincinnatiDayton    │ 2016 │
│ 2016-04-03 │ CincinnatiDayton    │ 2016 │
│ 2016-03-27 │ CincinnatiDayton    │ 2016 │
│ 2016-03-20 │ CincinnatiDayton    │ 2016 │
│ 2016-03-13 │ CincinnatiDayton    │ 2016 │
│ 2016-03-06 │ CincinnatiDayton    │ 2016 │
│ 2016-02-28 │ CincinnatiDayton    │ 2016 │
│ 2016-02-21 │ CincinnatiDayton    │ 2016 │
│ 2016-02-14 │ CincinnatiDayton    │ 2016 │
│ 2016-02-07 │ CincinnatiDayton    │ 2016 │
│ 2016-01-31 │ CincinnatiDayton    │ 2016 │
│ 2016-01-24 │ CincinnatiDayton    │ 2016 │
│ 2016-01-17 │ CincinnatiDayton    │ 2016 │
│ 2016-01-10 │ CincinnatiDayton    │ 2016 │
│ 2016-01-03 │ CincinnatiDayton    │ 2016 │
│ 2016-12-25 │ Columbus            │ 2016 │
│ 2016-12-18 │ Columbus            │ 2016 │
│ 2016-12-11 │ Columbus            │ 2016 │
│ 2016-12-04 │ Columbus            │ 2016 │
│ 2016-11-27 │ Columbus            │ 2016 │
│ 2016-11-20 │ Columbus            │ 2016 │
│ 2016-11-13 │ Columbus            │ 2016 │
│ 2016-11-06 │ Columbus            │ 2016 │
│ 2016-10-30 │ Columbus            │ 2016 │
│ 2016-10-23 │ Columbus            │ 2016 │
│ 2016-10-16 │ Columbus            │ 2016 │
│ 2016-10-09 │ Columbus            │ 2016 │
│ 2016-10-02 │ Columbus            │ 2016 │
│ 2016-09-25 │ Columbus            │ 2016 │
│ 2016-09-18 │ Columbus            │ 2016 │
│ 2016-09-11 │ Columbus            │ 2016 │
│ 2016-09-04 │ Columbus            │ 2016 │
